序号,出发站,到达站,时间
1,蔡桥,建设北路,2025.05.24 20:09
2,团结新区,前锋路,2025.05.27 17:29
3,前锋路,人民北路,2025.05.27 15:14
4,宽窄巷子,建设北路,2025.05.28 20:18
5,建设北路,宽窄巷子,2025.05.28 17:50
6,红高路,建设北路,2025.05.30 23:07
7,有轨电车,有轨电车,2025.05.30 18:59
8,九江北,红星桥,2025.05.31 19:46
9,有轨电车,有轨电车,2025.05.31 16:53
10,十陵,建设北路,2025.06.01 15:30
11,建设北路,十陵,2025.06.01 13:12
12,成都东客站,建设北路,2025.06.02 22:08
13,锦城广场东,火车南站,2025.06.02 20:56
14,建设北路,明蜀王陵,2025.06.02 19:09
15,动物园,前锋路,2025.06.05 12:51
16,前锋路,动物园,2025.06.05 11:37
17,海昌路,海昌路,2025.06.07 16:56
18,市二医院,建设北路,2025.06.08 11:18
19,人民北路,建设北路,2025.06.09 22:18
20,锦城广场,建设北路,2025.06.12 15:29
21,建设北路,锦城广场,2025.06.12 10:01
22,锦城广场东,李家沱,2025.06.19 16:46
23,建设北路,锦城广场,2025.06.19 10:03
24,市一医院,前锋路,2025.06.22 21:32
25,明蜀王陵,建设北路,2025.06.23 20:41
26,前锋路,金华寺东路,2025.06.23 18:20
27,成都东客站,建设北路,2025.06.25 21:09
28,红星桥,蔡桥,2025.06.25 18:18
29,龙桥路,红星桥,2025.06.26 17:37
30,前锋路,双凤桥,2025.06.26 14:54
31,二仙桥,建设北路,2025.07.03 18:34
32,牛市口,牛王庙,2025.07.04 23:35
33,成都行政学院,建设北路,2025.07.08 21:01
34,李家沱,金华寺东路,2025.07.08 18:16
35,凤凰大街,建设北路,2025.07.10 21:18
36,东郊记忆,凤凰大街,2025.07.10 13:37
37,建设北路,成都东客站,2025.07.12 14:19
38,建设北路,金融城东,2025.08.31 16:39
39,人民北路,建设北路,2025.08.31 21:56
40,前锋路,人民北路,2025.08.31 20:32
41,金花,前锋路,2025.08.31 18:57
42,东门大桥,建设北路,2025.08.31 12:54
43,建设北路,东门大桥,2025.08.31 12:10
44,成都东客站,建设北路,2025.08.30 15:01
45,红星桥,建设北路,2025.09.17 13:46
46,建设北路,红星桥,2025.09.17 12:23
47,双店路,建设北路,2025.09.20 21:16
48,建设北路,双店路,2025.09.20 19:54
49,建设北路,九江北,2025.09.21 18:12
50,城隍庙,建设北路,2025.09.21 20:28
51,金花,红星桥,2025.09.21 19:55
52,双店路,建设北路,2025.09.22 18:44
53,建设北路,双店路,2025.09.22 17:45
54,双店路,建设北路,2025.09.24 19:21
55,建设北路,双店路,2025.09.24 17:42
56,三官堂,建设北路,2025.09.27 21:09
57,玉双路,建设北路,2025.09.29 14:19
58,成都行政学院,建设北路,2025.09.07 19:49
59,二仙桥,十陵,2025.09.07 17:12
60,新南门,前锋路,2025.09.06 22:09
61,蓝家店,建设北路,2025.10.01 18:59
62,建设北路,蓝家店,2025.10.02 11:56
63,建设北路,建设北路,2025.10.02 10:29
64,双店路,建设北路,2025.10.03 20:02
65,天府商务区,双店路,2025.10.03 19:04
66,建设北路,天府商务区,2025.10.04 15:10
