序号,出发站,到达站,时间
1,犀浦,洪河,2025.06.07
2,建设北路,春熙路,2025.06.19
3,成都西站,天府五街,2025.06.27
4,天府五街,红高路,2025.06.27
5,建设北路,红高路,2025.06.28
6,建设北路,成都东客站,2025.07.03
7,有轨电车,有轨电车,2025.08.31
8,红高路,天府广场,2025.09.03
9,天府广场,红高路,2025.09.03
10,建设北路,惠王陵,2025.09.06
11,红高路,天府广场,2025.09.07
12,有轨电车,有轨电车,2025.09.07
13,红高路,成都大学,2025.09.13
14,成都大学,韦家碾,2025.09.13
15,韦家碾,红高路,2025.09.13
16,有轨电车,有轨电车,2025.09.27
17,红高路,梁家巷,2025.10.01
18,前锋路,红高路,2025.10.01
19,红高路,磨子桥,2025.10.01
20,有轨电车,有轨电车,2025.10.02
21,成都西站,火车南站,2025.10.02
22,有轨电车,有轨电车,2025.10.02
23,犀浦,一品天下,2025.10.06
24,一品天下,犀浦,2025.10.06
25,惠王陵,东光,2025.10.07
26,东光,红高路,2025.10.07
27,有轨电车,有轨电车,2025.10.12
28,成都西站,华府大道,2025.10.12
29,有轨电车,有轨电车,2025.10.12
30,有轨电车,有轨电车,2025.10.13
31,有轨电车,有轨电车,2025.10.17
32,成都西站,双流机场1航站楼,2025.10.17
33,有轨电车,有轨电车,2025.11.14
34,成都西站,天府五街,2025.11.14
35,天府五街,红高路,2025.11.14
36,有轨电车,有轨电车,2025.11.15
37,红高路,洪河,2025.11.22
38,洪河,红高路,2025.11.22
39,犀浦,广都,2025.11.23
40,新通大道,红高路,2025.11.23
41,红高路,一品天下,2025.11.28
42,一品天下,犀浦,2025.11.28
43,有轨电车,有轨电车,2025.11.30
44,有轨电车,有轨电车,2025.11.30
45,有轨电车,有轨电车,2025.12.13
46,有轨电车,有轨电车,2025.12.16
47,成都西站,龙泉驿火车站南,2025.12.16
48,大面铺,东光,2025.12.16
49,净居寺,双店路,2025.12.16
50,有轨电车,有轨电车,2025.12.16
51,有轨电车,有轨电车,2025.12.20
52,成都西站,天府广场,2025.12.20
53,天府广场,红高路,2025.12.20
54,有轨电车,有轨电车,2025.12.21
55,犀浦,梓潼宫,2025.12.22
56,梓潼宫,红高路,2025.12.22
57,红高路,天府广场,2025.12.26
58,春熙路,建设北路,2025.12.26
59,建设北路,红高路,2025.12.26
60,茶店子客运站,西博城,2025.12.31
61,红莲,双流机场2航站楼东,2025.12.31
62,双流机场2航站楼,东坡路,2025.12.31
63,有轨电车,有轨电车,2025.12.31
64,红高路,成都东客站,2026.01.05
65,建设北路,成都东客站,2026.01.14
66,有轨电车,有轨电车,2026.03.04
67,建设北路,机车厂,2026.03.05
68,建设北路,成都东客站,2026.03.06
69,成都东客站,红高路,2026.03.07
70,有轨电车,有轨电车,2026.03.08
71,锦城广场东,东光,2026.03.08
72,东光,红高路,2026.03.08
73,有轨电车,有轨电车,2026.03.20
74,成都西站,东坡路,2026.03.20
75,红高路,春熙路,2026.03.31
76,春熙路,红高路,2026.03.31
77,高新,广都,2026.04.03
78,有轨电车,有轨电车,2026.04.03
79,龙桥路,东坡路,2026.04.05
80,文化宫,红高路,2026.04.05
81,前锋路,春熙路,2026.04.08
82,市二医院,前锋路,2026.04.08
83,红高路,东光,2026.04.16
84,东光,成都东客站,2026.04.16
85,有轨电车,有轨电车,2026.05.05
86,红高路,东门大桥,2026.05.05
87,春熙路,犀浦,2026.05.05
88,有轨电车,有轨电车,2026.05.09
89,海桐街,万家湾,2026.05.09
90,建设北路,娇子立交,2026.05.10
91,海桐街,万家湾,2026.05.10
92,金华寺东路,光华村,2026.05.14
93,东坡路,犀浦,2026.05.14
94,有轨电车,有轨电车,2026.05.16
95,成都西站,娇子立交,2026.05.16
96,有轨电车,有轨电车,2026.05.16
97,有轨电车,有轨电车,2026.05.17
98,有轨电车,有轨电车,2026.05.23
99,有轨电车,有轨电车,2026.05.23
